T=2.30000e+00  B=0.00000e+00  ns=16384  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
-1.34497e+00  4.10156e-02
-1.35010e+00  -5.12695e-03
-1.32202e+00  4.26025e-02
-1.36499e+00  1.12305e-02
-1.32178e+00  -1.74561e-02
-1.31885e+00  -1.13159e-01
-1.32666e+00  -1.23901e-01
-1.32129e+00  -1.35010e-01
-1.30762e+00  -1.53076e-01
-1.30933e+00  -1.77368e-01
-1.30566e+00  -1.61621e-01
-1.34058e+00  -2.07764e-01
-1.32495e+00  -2.15576e-01
-1.33301e+00  -2.29492e-01
-1.36450e+00  -2.48169e-01
-1.31519e+00  -2.28882e-01
-1.32227e+00  -2.13745e-01
-1.39136e+00  -2.64404e-01
-1.34180e+00  -2.76978e-01
-1.32251e+00  -2.56592e-01
-1.33936e+00  -3.12622e-01
-1.35693e+00  -3.30933e-01
-1.31543e+00  -3.16650e-01
-1.36450e+00  -2.51221e-01
-1.36719e+00  -2.54272e-01
-1.32275e+00  -2.19360e-01
-1.37085e+00  -2.57446e-01
-1.31519e+00  -1.99341e-01
-1.34888e+00  -2.38159e-01
-1.31641e+00  -2.58179e-01
-1.32300e+00  -2.22534e-01
-1.32129e+00  -1.95801e-01
-1.32080e+00  -2.15820e-01
-1.33252e+00  -1.70898e-01
-1.34814e+00  -1.75171e-01
-1.32764e+00  -2.08984e-01
-1.36548e+00  -2.03491e-01
-1.32031e+00  -2.13989e-01
-1.33008e+00  -2.62085e-01
-1.31250e+00  -1.89331e-01
-1.33911e+00  -2.55859e-01
-1.34692e+00  -2.81738e-01
-1.33154e+00  -2.86011e-01
-1.34766e+00  -2.99072e-01
-1.32373e+00  -2.68066e-01
-1.34595e+00  -2.86377e-01
-1.34424e+00  -3.12256e-01
-1.36914e+00  -3.70483e-01
-1.35156e+00  -3.56567e-01
-1.32666e+00  -2.63306e-01
-1.34766e+00  -3.88550e-01
-1.36719e+00  -3.48755e-01
-1.34814e+00  -3.33618e-01
-1.37695e+00  -3.23120e-01
-1.37427e+00  -3.08960e-01
-1.34009e+00  -3.29712e-01
-1.39185e+00  -3.48755e-01
-1.32251e+00  -2.95288e-01
-1.39136e+00  -2.83936e-01
-1.35938e+00  -2.42676e-01
-1.31982e+00  -3.20557e-01
