T=2.30000e+00  B=0.00000e+00  ns=40000  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
-1.36650e+00  3.45450e-01
-1.34010e+00  3.26800e-01
-1.36140e+00  2.58700e-01
-1.35740e+00  2.93100e-01
-1.36620e+00  2.96700e-01
-1.40240e+00  3.14600e-01
-1.37390e+00  3.00500e-01
-1.35340e+00  2.93500e-01
-1.35550e+00  3.09600e-01
-1.35800e+00  2.99200e-01
-1.34210e+00  3.06450e-01
-1.33880e+00  3.12550e-01
-1.34510e+00  3.30600e-01
-1.36600e+00  3.07450e-01
-1.38240e+00  2.73400e-01
-1.35100e+00  3.14550e-01
-1.35190e+00  3.56350e-01
-1.38180e+00  3.88750e-01
-1.35270e+00  3.28950e-01
-1.37520e+00  3.58800e-01
-1.36740e+00  4.09900e-01
-1.36580e+00  3.70150e-01
-1.35780e+00  3.53200e-01
-1.38010e+00  3.50350e-01
-1.38370e+00  3.54300e-01
-1.35820e+00  3.19300e-01
-1.34460e+00  3.35800e-01
-1.37020e+00  3.37500e-01
-1.35640e+00  3.75500e-01
-1.37270e+00  3.42150e-01
-1.39020e+00  3.50500e-01
-1.38700e+00  3.41250e-01
-1.39580e+00  3.19400e-01
-1.37130e+00  3.22600e-01
-1.35910e+00  3.15650e-01
-1.37080e+00  3.28050e-01
-1.35060e+00  3.23250e-01
-1.37650e+00  3.15250e-01
-1.38990e+00  2.79000e-01
-1.38080e+00  2.73150e-01
-1.37950e+00  2.81250e-01
-1.37200e+00  2.41500e-01
-1.38350e+00  2.70850e-01
-1.36200e+00  2.66250e-01
-1.34910e+00  2.69350e-01
-1.33680e+00  2.86950e-01
-1.35940e+00  2.70600e-01
-1.37000e+00  2.61400e-01
-1.37870e+00  2.54250e-01
-1.36750e+00  2.91850e-01
-1.37580e+00  3.17400e-01
-1.37060e+00  3.20400e-01
-1.35100e+00  3.16450e-01
-1.35700e+00  3.14150e-01
-1.36690e+00  2.83850e-01
-1.38370e+00  2.72650e-01
-1.37600e+00  2.59800e-01
-1.37280e+00  2.39500e-01
-1.36140e+00  2.78150e-01
-1.36740e+00  2.60700e-01
-1.35100e+00  2.65600e-01
-1.35420e+00  2.69150e-01
-1.35660e+00  2.54050e-01
-1.35040e+00  2.13900e-01
-1.35430e+00  1.75700e-01
-1.36760e+00  1.61850e-01
-1.33900e+00  1.71350e-01
-1.34560e+00  1.64500e-01
-1.34960e+00  1.71700e-01
-1.33930e+00  1.51950e-01
-1.35070e+00  1.65000e-01
-1.35930e+00  1.99000e-01
-1.36240e+00  2.06950e-01
-1.36390e+00  2.59850e-01
-1.36050e+00  2.79150e-01
-1.35470e+00  2.45250e-01
-1.33950e+00  2.69250e-01
-1.36390e+00  2.93900e-01
-1.37890e+00  2.64400e-01
-1.37390e+00  2.32300e-01
-1.34920e+00  2.59450e-01
-1.36480e+00  2.81950e-01
-1.36690e+00  2.47200e-01
-1.37310e+00  2.48050e-01
-1.36860e+00  2.84000e-01
-1.36980e+00  2.44350e-01
-1.36800e+00  2.45750e-01
-1.35370e+00  2.23700e-01
-1.33890e+00  1.79900e-01
-1.34760e+00  1.88500e-01
-1.35500e+00  2.00750e-01
-1.34220e+00  2.26300e-01
-1.36080e+00  2.55050e-01
-1.36000e+00  2.81300e-01
-1.33900e+00  2.79150e-01
-1.35650e+00  2.65100e-01
-1.36600e+00  2.42400e-01
-1.34790e+00  2.40600e-01
-1.32680e+00  2.70600e-01
-1.35230e+00  2.55900e-01
-1.35100e+00  2.77800e-01
-1.34920e+00  2.77000e-01
-1.34850e+00  2.91650e-01
-1.35150e+00  3.12400e-01
-1.37150e+00  3.20200e-01
-1.37300e+00  3.42700e-01
-1.36340e+00  3.56300e-01
-1.35670e+00  3.56550e-01
-1.36810e+00  3.44450e-01
-1.36140e+00  3.61750e-01
-1.36350e+00  3.49650e-01
-1.35220e+00  3.63900e-01
-1.36310e+00  4.13000e-01
-1.37080e+00  4.24150e-01
-1.37880e+00  4.22400e-01
-1.38500e+00  4.02850e-01
-1.38210e+00  3.72650e-01
-1.36870e+00  3.85000e-01
-1.38820e+00  3.99850e-01
-1.39050e+00  3.96550e-01
-1.37590e+00  4.22350e-01
-1.38360e+00  4.33000e-01
-1.38980e+00  4.48650e-01
-1.36850e+00  4.49750e-01
-1.40500e+00  4.52050e-01
-1.38060e+00  4.44900e-01
-1.36840e+00  4.61850e-01
-1.38400e+00  4.54000e-01
-1.37200e+00  4.58000e-01
-1.39190e+00  4.70300e-01
-1.36850e+00  4.58750e-01
-1.38770e+00  4.52000e-01
-1.37830e+00  4.30750e-01
-1.38900e+00  4.52150e-01
-1.39430e+00  4.35850e-01
-1.38350e+00  4.38550e-01
-1.36170e+00  4.32100e-01
-1.37750e+00  4.18300e-01
-1.39240e+00  4.29100e-01
-1.37520e+00  4.26250e-01
-1.38050e+00  4.47550e-01
-1.38720e+00  4.41700e-01
-1.39840e+00  4.57000e-01
-1.38030e+00  4.30150e-01
-1.38070e+00  4.35450e-01
-1.37560e+00  4.01200e-01
-1.38560e+00  4.38850e-01
-1.37420e+00  4.51600e-01
-1.38200e+00  4.54850e-01
-1.38420e+00  4.55950e-01
-1.38420e+00  4.54600e-01
-1.37380e+00  4.13250e-01
-1.36520e+00  4.20650e-01
-1.38090e+00  4.24300e-01
-1.37060e+00  4.49150e-01
-1.37070e+00  4.47800e-01
-1.35330e+00  4.29750e-01
-1.36390e+00  4.13150e-01
-1.33640e+00  4.15850e-01
-1.35470e+00  3.80300e-01
-1.36830e+00  3.51950e-01
-1.37060e+00  3.91950e-01
-1.36130e+00  4.04050e-01
-1.38200e+00  4.17900e-01
-1.34210e+00  4.16200e-01
-1.35910e+00  4.40100e-01
-1.35650e+00  4.41850e-01
-1.36120e+00  4.53700e-01
-1.34480e+00  4.44750e-01
-1.36320e+00  4.56550e-01
-1.37840e+00  4.61550e-01
-1.38160e+00  4.65350e-01
-1.36730e+00  4.25400e-01
-1.37120e+00  3.99600e-01
-1.37800e+00  4.21700e-01
-1.35580e+00  4.20000e-01
-1.37700e+00  4.43200e-01
-1.36070e+00  4.17150e-01
-1.37950e+00  4.23250e-01
-1.35820e+00  3.92250e-01
-1.35660e+00  4.01000e-01
-1.38360e+00  4.18750e-01
-1.37080e+00  4.22900e-01
-1.40440e+00  4.72650e-01
-1.37290e+00  4.37250e-01
-1.37320e+00  4.09100e-01
-1.39190e+00  4.35200e-01
-1.38560e+00  4.21600e-01
-1.36780e+00  3.93450e-01
-1.35840e+00  4.23000e-01
-1.36450e+00  4.11900e-01
-1.39500e+00  3.89650e-01
-1.35500e+00  3.72600e-01
-1.34860e+00  4.02000e-01
-1.35390e+00  3.86450e-01
-1.36910e+00  3.56900e-01
-1.36460e+00  3.41400e-01
-1.35890e+00  3.41100e-01
-1.34940e+00  3.27600e-01
-1.38370e+00  3.31800e-01
-1.36730e+00  3.46250e-01
-1.36330e+00  3.19800e-01
-1.34320e+00  2.90550e-01
-1.38670e+00  3.07850e-01
-1.37140e+00  2.93900e-01
-1.35930e+00  2.96100e-01
-1.33580e+00  2.62950e-01
-1.33350e+00  2.76050e-01
-1.35720e+00  3.03450e-01
-1.35520e+00  2.89850e-01
-1.34880e+00  2.80600e-01
-1.35260e+00  2.95000e-01
-1.35480e+00  3.06250e-01
-1.36490e+00  3.01150e-01
-1.36370e+00  2.98250e-01
-1.34360e+00  2.79800e-01
-1.37780e+00  2.76700e-01
-1.35680e+00  3.01500e-01
-1.38420e+00  3.11600e-01
-1.37570e+00  3.26000e-01
-1.36890e+00  3.57950e-01
-1.40190e+00  3.70450e-01
-1.40430e+00  3.63550e-01
-1.37430e+00  3.60100e-01
-1.36520e+00  3.48850e-01
-1.37040e+00  3.31350e-01
-1.39140e+00  3.41100e-01
-1.38270e+00  3.05750e-01
-1.37290e+00  2.89700e-01
-1.38150e+00  3.18600e-01
-1.34180e+00  2.96100e-01
-1.38010e+00  3.13550e-01
-1.36690e+00  3.01700e-01
-1.34070e+00  2.63050e-01
-1.38530e+00  2.29650e-01
-1.37000e+00  2.22650e-01
-1.36430e+00  2.60000e-01
-1.37750e+00  2.71750e-01
-1.37890e+00  2.46700e-01
-1.37760e+00  2.63950e-01
-1.37120e+00  2.57050e-01
-1.35300e+00  2.97350e-01
-1.39800e+00  2.94150e-01
